x,y
16.816048,39.28404
16.630701,39.39576
16.487783,39.202385
16.45832,39.240383
16.740046,39.123108
16.420273,39.36621
16.484976,39.242756
16.485155,39.281986
16.745409,39.259094
16.475683,39.221077
16.906466,39.440544
16.730337,39.671135
17.005733,39.620678
16.985361,39.608963
16.741608,39.372055
16.716915,39.618988
16.839941,39.39359
16.64055,39.714417
16.830605,39.728474
16.700016,39.58231
17.288185,39.97105
17.128712,40.219933
16.983526,39.77671
17.206501,39.98032
17.19774,40.081253
16.954771,39.742336
17.061888,39.93166
17.05303,39.861248
16.846558,39.781445
16.93906,39.706997
17.143093,40.30362
17.020971,40.078785
16.896156,40.606865
17.06107,40.65539
17.331196,40.45857
17.265596,40.53352
17.30809,40.108955
17.113398,40.26218
17.104647,40.161068
17.02667,40.24483
17.419327,40.4143
17.564203,40.4715
17.37549,40.334026
17.53865,40.510017
17.253101,40.528687
17.342955,40.470882
17.335743,40.504585
17.419827,40.203068
17.450836,40.329075
17.401518,40.386147
13.049563,33.691345
13.301389,33.416874
13.195162,33.467308
13.255847,33.518944
13.290342,33.468113
13.355645,33.405396
13.428485,33.41493
13.473079,33.2851
13.015674,33.62262
13.338948,33.51251
13.42257,33.495834
13.307781,33.74988
13.128214,33.877773
13.529649,33.517975
13.371871,33.587475
13.316941,33.747597
13.312646,33.654305
13.192715,33.812477
13.187268,33.769024
13.362972,33.54765
13.568208,33.811405
13.537134,33.898308
13.653401,33.783947
13.507221,33.99367
13.614404,33.98854
13.612808,33.72802
13.349889,33.889694
13.578523,33.930725
13.517736,33.989986
13.688171,33.761124
13.678537,34.204067
13.983199,34.339928
13.672357,34.16406
13.957837,34.444893
13.781537,34.183586
13.447226,34.070198
13.839522,34.04016
13.657767,34.182644
13.7789135,34.298218
13.538327,34.30307
14.2038765,34.496998
14.008948,35.033123
13.970542,34.29948
14.212223,34.833588
13.852572,34.823174
13.885399,34.563854
14.008909,34.878635
14.010249,34.624977
14.070683,35.011494
14.069973,34.79004
14.324565,35.35435
14.229991,35.45426
14.048403,35.35053
14.223559,35.18024
13.874742,35.50834
14.30994,35.46846
14.257377,35.439537
14.546978,35.461674
14.220353,35.052578
14.33746,35.305565
14.416556,35.798187
14.484071,35.658375
14.482183,36.03236
14.43545,35.954235
14.520676,35.691345
14.269032,35.701668
14.391232,35.639328
14.682784,35.65827
14.488694,35.921497
14.518243,35.474342
14.6448965,36.245094
15.127871,36.09571
14.798381,36.24538
14.797604,36.5617
14.652739,35.87538
14.946953,36.57997
14.548169,36.21198
14.716646,36.084194
14.870268,36.65469
14.727135,36.498943
14.752355,36.617702
14.751999,36.724323
14.767643,36.844807
14.993975,36.724373
14.645668,36.454582
14.824514,36.665207
14.688857,36.447975
14.868841,36.497196
14.855616,36.76141
14.9825735,37.09897
15.178473,37.14671
15.145805,37.04144
15.4804325,36.875977
15.207783,36.958828
14.999735,37.01129
14.983342,37.326233
14.960441,36.88145
14.884598,37.151047
15.337654,37.661327
15.4805975,37.34187
15.413529,37.564606
15.398517,37.378006
15.415005,37.331963
15.496525,37.680588
15.486635,37.692066
15.294916,37.653564
15.554792,38.164093
15.494772,37.88243
15.559552,38.280895
15.714625,37.814285
15.433532,38.390503
15.56433,38.419044
15.235695,38.45579
15.504807,38.13316
15.387028,38.01707
15.600696,38.637943
15.778411,38.57322
15.8282795,38.28598
15.761199,38.80258
15.852603,38.461166
15.593674,38.740402
15.968229,38.647575
15.707245,38.6217
15.705916,38.708508
