,sc_id,spot,celltype,indice,x,y,UMAP1,UMAP2,core1,core2,scale_factor,adj_UMAP1,adj_UMAP2
510,776,50,Endo,135,1875,9375,16.58646583557129,37.90394592285156,16.58644905090332,38.079661178588864,1239.547574569125,1875.0208053944723,9157.192580936035
511,820,50,Endo,135,1875,9375,16.707609176635742,38.21812057495117,16.58644905090332,38.079661178588864,1239.547574569125,2025.1837399861156,9546.627008937203
512,976,51,Pvalb,136,1875,10125,16.69183921813965,38.69434356689453,16.783334732055664,38.5494384765625,1101.9172423337309,1774.1795156197566,10284.673417538792
513,490,51,Npy,136,1875,10125,16.771596908569336,38.520729064941406,16.783334732055664,38.5494384765625,1101.9172423337309,1862.0658899129453,10093.364604317461
514,222,51,Endo,136,1875,10125,16.83431625366211,38.45069885253906,16.783334732055664,38.5494384765625,1101.9172423337309,1931.1774176985518,10016.197105787025
515,1231,51,Endo,136,1875,10125,16.81664276123047,38.41226577758789,16.783334732055664,38.5494384765625,1101.9172423337309,1911.7026916558723,9973.847037822423
516,1030,51,ExcitatoryL2and3,136,1875,10125,16.778240203857422,38.54073715209961,16.783334732055664,38.5494384765625,1101.9172423337309,1869.3862515368016,10115.411860543201
517,1081,51,ExcitatoryL2and3,136,1875,10125,16.69687271118164,38.772499084472656,16.783334732055664,38.5494384765625,1101.9172423337309,1779.7260083918945,10370.794329941646
518,1404,51,ExcitatoryL2and3,136,1875,10125,16.808609008789062,38.832767486572266,16.783334732055664,38.5494384765625,1101.9172423337309,1902.850161320046,10437.205121383107
519,1191,51,ExcitatoryL2and3,136,1875,10125,16.74506950378418,38.48858642578125,16.783334732055664,38.5494384765625,1101.9172423337309,1832.8348851858152,10057.946076012773
520,475,51,ExcitatoryL2and3,136,1875,10125,16.90682601928711,38.23231887817383,16.783334732055664,38.5494384765625,1101.9172423337309,2011.0771786783168,9775.560446653575
521,131,52,ExcitatoryL6,137,1875,10875,17.58315658569336,39.08897018432617,17.04936408996582,39.010247548421226,695.002766056723,2245.9872610309612,10929.712449705214
522,769,52,Pvalb,137,1875,10875,16.755107879638672,39.11314392089844,17.04936408996582,39.010247548421226,695.002766056723,1670.491119893263,10946.513263488865
523,481,52,ExcitatoryL2and3,137,1875,10875,16.933565139770508,38.977779388427734,17.04936408996582,39.010247548421226,695.002766056723,1794.519409307793,10852.43453899575
524,930,52,ExcitatoryL2and3,137,1875,10875,17.161638259887695,38.807273864746094,17.04936408996582,39.010247548421226,695.002766056723,1953.0308586524256,10733.932728409061
525,1109,52,ExcitatoryL2and3,137,1875,10875,16.93012237548828,39.010128021240234,17.04936408996582,39.010247548421226,695.002766056723,1792.1266786087645,10874.916928278592
526,1429,52,ExcitatoryL2and3,137,1875,10875,16.837961196899414,38.960182189941406,17.04936408996582,39.010247548421226,695.002766056723,1728.074404566454,10840.204437372904
527,899,52,ExcitatoryL2and3,137,1875,10875,17.179956436157227,39.160953521728516,17.04936408996582,39.010247548421226,695.002766056723,1965.7620418288645,10979.741068309837
528,821,52,ExcitatoryL2and3,137,1875,10875,17.09513282775879,39.031978607177734,17.04936408996582,39.010247548421226,695.002766056723,1906.8093993650382,10890.103145945115
529,1229,52,ExcitatoryL2and3,137,1875,10875,16.967636108398438,38.94181823730469,17.04936408996582,39.010247548421226,695.002766056723,1818.198826746436,10827.441439494649
530,1489,53,Olig,138,1875,11625,17.207143783569336,39.43285369873047,17.14809646606445,39.455308532714845,1188.9520749982332,1945.2044306705116,11598.302278540536
531,451,53,Vip,138,1875,11625,17.237640380859375,39.50767135620117,17.14809646606445,39.455308532714845,1188.9520749982332,1981.463423298889,11687.256887636835
532,1446,53,Vip,138,1875,11625,17.409013748168945,39.628238677978516,17.14809646606445,39.455308532714845,1188.9520749982332,2185.218143961037,11830.605655040987
533,445,53,Vip,138,1875,11625,17.199289321899414,39.47151565551758,17.14809646606445,39.455308532714845,1188.9520749982332,1935.8658521700638,11644.269492286061
534,652,53,ExcitatoryL2and3,138,1875,11625,17.163957595825195,39.45733642578125,17.14809646606445,39.455308532714845,1188.9520749982332,1893.8581231408523,11627.411067669176
535,1029,53,ExcitatoryL2and3,138,1875,11625,16.894567489624023,39.26768493652344,17.14809646606445,39.455308532714845,1188.9520749982332,1573.5661973889746,11401.924535989596
536,578,53,ExcitatoryL2and3,138,1875,11625,17.063024520874023,39.39346694946289,17.14809646606445,39.455308532714845,1188.9520749982332,1773.8535342417044,11551.473321271413
537,867,53,ExcitatoryL2and3,138,1875,11625,17.063114166259766,39.474422454833984,17.14809646606445,39.455308532714845,1188.9520749982332,1773.9601183090965,11647.725537364906
538,540,53,ExcitatoryL2and3,138,1875,11625,16.962251663208008,39.36648178100586,17.14809646606445,39.455308532714845,1188.9520749982332,1654.0394360161936,11519.389249240248
539,918,53,ExcitatoryL2and3,138,1875,11625,17.280961990356445,39.55341339111328,17.14809646606445,39.455308532714845,1188.9520749982332,2032.9707408026939,11741.641974960228
540,455,54,Sst,139,1875,12375,17.252470016479492,39.698143005371094,17.28293628692627,39.82747383117676,1358.7613867767313,1833.603608117823,12199.270267775311
541,1430,54,Sst,139,1875,12375,17.31838607788086,39.80869674682617,17.28293628692627,39.82747383117676,1358.7613867767313,1923.1678071184047,12349.48642282817
542,461,54,ExcitatoryL2and3,139,1875,12375,17.154014587402344,39.850120544433594,17.28293628692627,39.82747383117676,1358.7613867767313,1699.8261727692584,12405.77147951079
543,828,54,ExcitatoryL2and3,139,1875,12375,17.1784610748291,39.945533752441406,17.28293628692627,39.82747383117676,1358.7613867767313,1733.04311592706,12535.415262340302
544,616,54,ExcitatoryL2and3,139,1875,12375,17.230512619018555,39.674930572509766,17.28293628692627,39.82747383117676,1358.7613867767313,1803.7687442937915,12167.730110310193
545,1070,54,ExcitatoryL2and3,139,1875,12375,17.326091766357422,39.79737091064453,17.28293628692627,39.82747383117676,1358.7613867767313,1933.6379990788882,12334.097313951599
546,570,54,ExcitatoryL2and3,139,1875,12375,17.155353546142578,39.736724853515625,17.28293628692627,39.82747383117676,1358.7613867767313,1701.645498203976,12251.693793264585
547,1394,54,ExcitatoryL2and3,139,1875,12375,17.408344268798828,40.07332229614258,17.28293628692627,39.82747383117676,1358.7613867767313,2045.3995233620299,12709.049401193884
